id_projeto,titulo,situacao,unidade_lista,sigla_unidade_lista,score_bm25,score_dense,score_rrf
2845,Terapia Ocupacional: diálogos no campo da saúde mental e atenção psicossocial.,Concluído,Departamento de Terapia Ocupacional,DTO/CCS,11.14035629904195,0.8175406,0.002375026893574686
1388,"Lab. Usina: Corpo, dança, saúde e sociedade",Inadimplente,Departamento de Engenharia e Tecnologia,DET/CEUNES,8.68761075462651,0.8398028,0.0023728440590745376
3435,Semanas do Conhecimento da UFES edições 2022 e 2023 ,Inadimplente,Assessoria de Relações Interistitucionais,ARI,7.5842943117502415,0.8410722,0.002372636193914794
1144,REVERSO - Práticas na produção de exposição,Aguardando envio de relatório,Departamento de Artes Visuais,DAV/CAr,9.871229019653084,0.8358046,0.0023712071600087317
2401,Os Fundamentos do Trabalho da/o Assistente Social no Estado do Espírito Santo em tempos de Pandemia,Concluído,Departamento de Serviço Social,DSS/CCJE,8.956441383224783,0.8387621,0.00237032190634872
4873,Cursinho Pré-Enem,Relatório aguardando aprovação,Departamento de Física,DFis/CCE,10.68008210988761,0.8301914,0.002369839115690552
382,Laboratório de Gestão da Educação Básica do Espírito Santo,Ativo,"Departamento de Educação, Política e Sociedade",DEPS/CE,10.324050105875031,0.83363605,0.0023694504562010482
3427,X Jornada Integrada de Extensão e Cultura da Ufes: Diálogos e Saberes para uma Sociedade Democrática e Inclusiva,Concluído,Pró-Reitoria de Extensão,PROEX,9.829693236938924,0.835897,0.0023607932048208455
411,MeditaUfes – Meditação: um caminho para todos,Inadimplente,Departamento de Educação Integrada em Saúde,DEIS/CCS,8.54967491633269,0.8401978,0.0023588900989027083
4563,A Extensão universitária e as contribuições da Ufes para o desenvolvimento Capixaba,Ativo,Pró-Reitoria de Extensão,PROEX,7.608610739653865,0.840972,0.0023561207165378887
5290,Formação continuada coletiva em educação especial  inclusiva na região central serrana do Espírito Santo,Aguardando envio de relatório,Departamento de Teorias de Ensino e Práticas Educacionais,DTEPE/CE,9.816623089518183,0.83590037,0.0023533761636999823
4717,Simulação do Comportamento de Estruturas com Modelos Reduzidos,Concluído,Departamento de Engenharia Civil,DEC/CT,7.43529820307132,0.841355,0.002350416850932796
5239,"Cotidiano, Informação e Fotografia com Celular - XIII JIEC Proex 2025",Concluído,Departamento de Engenharia de Produção,DEP/CT,10.487095516593524,0.83225214,0.0023494195860402018
3045,Cuidado Interdisciplinar às pessoas com dor crônica - CIDOC,Concluído,Departamento de Terapia Ocupacional,DTO/CCS,10.486892907653367,0.8322738,0.0023487832111639033
2742,Cidadão Conectado - Interfaces entre Design e Administração Pública,Concluído,Departamento de Desenho Industrial,DDI/CAr,9.441607150736523,0.8369418,0.0023444576665541802
3727,EDUCAÇÃO AMBIENTAL E POLÍTICAS PÚBLICAS - Consórcios CIM Noroeste-ES e Rio Guandu-ES,Concluído,Diretoria de Interlocução com a Sociedade,DIS/PROEX,10.84840330081922,0.82588786,0.002344357470069262
1012,Curso de Atualização em Práticas de Enfermagem,Ativo,Departamento de Ciências da Saúde,DCS/CEUNES,8.526778421761744,0.84010845,0.002338388587663312
2590, Curso de extensão Peri-form-Ação - Jornada de Formação para Periféricas e Periféricos - MÓDULO I - LULA ROCHA,Concluído,Diretoria de Ações Afirmativas e Diversidade,DAAD/PROAECI,6.990552902565135,0.84203124,0.002336295962397149
1812,Ciência & Sociedade,Ativo,Coordenação da Fazenda Experimental,CFE/CEUNES,9.050458425313488,0.8380452,0.0023346684661935653
2860,Seminário de Saúde Mental Infantojuvenil,Concluído,Departamento de Psicologia,DP/CCHN,9.451334170197264,0.8368561,0.0023344376238266917
5032,III Congresso Nacional de Jardins Botânicos ,Concluído,Coordenação dos Núcleos,CN/CEUNES,10.9196769366125,0.8226718,0.0023286738182285173
3843,Encontro do Estágio curricular na Atenção Primária: Possibilidade de integração ensino serviço e comunidade,Concluído,Departamento de Enfermagem,DE/CCS,9.409191284387282,0.8368731,0.002326833272773763
1668,"AVALIAÇÃO EPIDEMIOLÓGICA, CLÍNICA E MICROBIOLÓGICA DA ESTOMATITE PROTÉTICA EM USUÁRIOS DE PRÓTESE TOTAL",Concluído,Departamento de Patologia,DPA/CCS,11.006954190563162,0.8191205,0.0023263928395342664
2337,"Empresa Júnior de Nutrição NutrESul - Alegre, ES",Ativo,Departamento de Farmácia e Nutrição,DFN/CCENS,10.89806602127968,0.82404405,0.0023261278195488722
394,Introcomp - Introdução à Computação,Ativo,Departamento de Informática,DI/CT,9.558062745298791,0.83642066,0.00232542288617055
2497,TOdxs pelo SUS,Concluído,Departamento de Terapia Ocupacional,DTO/CCS,8.02934702015191,0.8405082,0.0023245608970287653
1013,Formação Continuada de Gestores e Professores : Relações étnico-raciais ,Ativo,"Departamento de Linguagens, Cultura e Educação",DLCE/CE,7.220852108743902,0.8417333,0.0023227314181486548
388,Formando Pesquisadores: A Biologia Celular na Prática,Ativo,Departamento de Ciências Agrárias e Biológicas,DCAB/CEUNES,10.274960604140599,0.83333504,0.002321419993274727
4505,GESTÃO EM RECURSOS PESQUEIROS,Concluído,Secretaria Única de Pós-Graduação,SUPG/CEUNES,10.292968726256968,0.8332567,0.0023201883882998436
3248,Matemática Divertida,Suspenso,Departamento de Matemática Pura e Aplicada,DMPA/CCENS,7.414657439114789,0.8412275,0.0023167565805428227
3083,Movimentos formativos e curriculares: por entre macro e micropolíticas  ,Concluído,Departamento de Teorias de Ensino e Práticas Educacionais,DTEPE/CE,10.631894414006588,0.82970905,0.002316554992645857
376,Educando com a Família Brincarte,Inadimplente,Departamento de Ciências da Saúde,DCS/CEUNES,8.571768495909659,0.8397722,0.0023158933318716255
5390,LIGA ACADÊMICA DE NUTRIÇÃO E SAÚDE COLETIVA - LANSC,Ativo,Departamento de Farmácia e Nutrição,DFN/CCENS,10.200402879602184,0.83364093,0.002314097398706585
2324,"Integração com idosos por meio do WhatsApp, uma parceira do PET Engenharia Elétrica e da UNAPI.",Concluído,Departamento de Engenharia Elétrica,DEE/CT,7.093173797152094,0.84183675,0.0023132992156495945
4475,Difusão de Conhecimento em Café e Alimentos Fermentados,Inadimplente,Departamento de Engenharia de Alimentos,DEA/CCAE,9.70469097857266,0.8357507,0.00231291219166071
1512,Criatividade em Ação: compartilhando saberes por meio de propostas de ensino de língua inglesa,Inadimplente,Departamento de Linguas e Letras,DLL/CCHN,9.931350478459112,0.835057,0.0023104783314599727
4580,XII Jornada Integrada de Extensão e Cultura da Ufes : A extensão e suas contribuições para o desenvolvimento local e comunitário,Concluído,Pró-Reitoria de Extensão,PROEX,7.545060826942727,0.84089196,0.002308767175491711
2075,escrita em artes,Ativo,Departamento de Artes Visuais,DAV/CAr,6.846325568816955,0.84201795,0.0023086386469208338
4041,III Semana Acadêmica de Matemática - III SEMAT,Concluído,Departamento de Matemática Pura e Aplicada,DMPA/CCENS,7.388742802738895,0.84120697,0.0023010650671742203
2798,"“Currículos Inventivos: um pouco de invenção, um respiro”",Aguardando envio de relatório,Centro de Educação Infantil Criarte,CEIC/CE,9.143352186780625,0.8373726,0.002300647991596483
4854,Educação em saúde sobre o HIV,Ativo,Departamento de Ciências Farmacêuticas,DCFA/CCS,8.768948479157416,0.83902097,0.002300248329535854
5137,Visita Técnica em Parasitologia: Observação de Parasitos e Vetores de Endemias,Concluído,Departamento de Patologia,DPA/CCS,8.850339935490856,0.8386777,0.0022985316881049362
501,História da Ciência e Divulgacão Científica,Inadimplente,Departamento de Física,DFis/CCE,7.388984003705551,0.8411741,0.002295613462050277
1202,Formação Inicial e Continuada de Professores que Ensinam Matemática,Inadimplente,Departamento de Teorias de Ensino e Práticas Educacionais,DTEPE/CE,7.20578378565004,0.8416509,0.002292893504943211
5172,"O Teatro do Oprimido na Educação do Campo: Vozes, Corpos e Resistências em Movimento",Ativo,"Departamento de Linguagens, Cultura e Educação",DLCE/CE,7.009367327058772,0.84181374,0.0022874396871186598
4401, Livro Digital Acessível,Aguardando envio de relatório,Departamento de Design,DD/CAr,10.18610590938501,0.8334001,0.002284586857805339
3069,Curso de Extensão em Alfabetização de Educandos com Deficiência Visual,Concluído,"Departamento de Linguagens, Cultura e Educação",DLCE/CE,10.737758228403877,0.82643884,0.002282979327981814
3826,Sentidos do Comer: Grupo de Estudos sobre comunicação compassiva em saúde e nutrição,Inadimplente,Departamento de Educação Integrada em Saúde,DEIS/CCS,8.865680036084305,0.83851814,0.002282051282051282
